asins,name,brand
B00ZV9PXP2,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Amazon
B010CEHQTG,"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon
B01J24C0TI,"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon
B01N32NCPM,Amazon Fire TV with 4K Ultra HD and Alexa Voice Remote (Pendant Design) | Streaming Media Player,Amazon
B06XB29FPF,Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon
B00QFQRELG,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,Amazon
B018Y22C2Y,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",Amazon
B017JG41PC,"Kindle E-reader - White, 6 Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers",Amazon
B018Y22BI4,"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",Amazon
B018Y23MNM,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",Amazon
B01AHBBG04,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Blue",Amazon
B01AHBDCKQ,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Blue",Amazon
B01BH83OOM,Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,Amazon
B0189XYY0Q,"Fire HD 10 Tablet, 10.1 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Silver Aluminum",Amazon
B00VINDBJK,"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",Amazon
B00IOY8XWQ,"Amazon - Kindle Voyage - 6"" - 4GB - Black",Amazon
B01AHB9CN2,"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon
B018Y225IA,"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",Amazon
B00IOYAM4I,Amazon - Kindle Voyage - 4GB - Wi-Fi + 3G - Black,Amazon
B01AHB9C1E,"Fire HD 8 Tablet with Alexa, 8"" HD Display, 32 GB, Tangerine - with Special Offers",Amazon
B00REQKWGA,"Kindle Oasis E-reader with Leather Charging Cover - Black, 6"" High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",Amazon
B01ACEKAJY,"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 32 GB - Includes Special Offers, Black",Amazon
B01AHB9CYG,"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 32 GB - Includes Special Offers, Magenta",Amazon
B018Y224PY,"Fire Tablet with Alexa, 7"" Display, 16 GB, Magenta - with Special Offers",Amazon
